date,total,subscriber,customer
2013-08-29,642,383,259
2013-08-30,606,253,353
2013-08-31,556,127,429
2013-09-01,600,102,498
2013-09-02,594,144,450
2013-09-03,523,271,252
2013-09-04,515,308,207
2013-09-05,602,348,254
2013-09-06,719,400,319
2013-09-07,716,216,500
2013-09-08,626,164,462
2013-09-09,692,456,236
2013-09-10,797,561,236
2013-09-11,799,555,244
2013-09-12,855,606,249
2013-09-13,886,600,286
2013-09-14,610,227,383
2013-09-15,575,223,352
2013-09-16,833,610,223
2013-09-17,990,716,274
2013-09-18,1015,768,247
2013-09-19,956,721,235
2013-09-20,971,697,274
2013-09-21,317,180,137
2013-09-22,531,209,322
2013-09-23,943,729,214
2013-09-24,977,757,220
2013-09-25,1154,798,356
2013-09-26,976,758,218
2013-09-27,1009,764,245
2013-09-28,553,225,328
2013-09-29,479,224,255
2013-09-30,891,777,114
2013-10-01,969,819,150
2013-10-02,955,787,168
2013-10-03,1036,793,243
2013-10-04,973,745,228
2013-10-05,626,262,364
2013-10-06,514,210,304
2013-10-07,884,752,132
2013-10-08,909,790,119
2013-10-09,966,830,136
2013-10-10,988,807,181
2013-10-11,907,745,162
2013-10-12,608,280,328
2013-10-13,505,235,270
2013-10-14,954,751,203
2013-10-15,1069,855,214
2013-10-16,1075,901,174
2013-10-17,1106,899,207
2013-10-18,999,771,228
2013-10-19,564,242,322
2013-10-20,389,181,208
2013-10-21,910,773,137
2013-10-22,910,820,90
2013-10-23,907,840,67
2013-10-24,918,825,93
2013-10-25,953,845,108
2013-10-26,448,252,196
2013-10-27,251,170,81
2013-10-28,865,804,61
2013-10-29,922,844,78
2013-10-30,1017,922,95
2013-10-31,1055,909,146
2013-11-01,1032,880,152
2013-11-02,507,242,265
2013-11-03,327,190,137
2013-11-04,1042,933,109
2013-11-05,1052,915,137
2013-11-06,986,865,121
2013-11-07,1077,943,134
2013-11-08,1073,895,178
2013-11-09,573,288,285
2013-11-10,434,200,234
2013-11-11,908,786,122
2013-11-12,1068,959,109
2013-11-13,910,853,57
2013-11-14,1013,945,68
2013-11-15,1030,882,148
2013-11-16,430,259,171
2013-11-17,361,209,152
2013-11-18,937,863,74
2013-11-19,676,627,49
2013-11-20,552,524,28
2013-11-21,998,909,89
2013-11-22,912,819,93
2013-11-23,458,212,246
2013-11-24,304,172,132
