date,total,subscriber,customer
2013-08-29,23,15,8
2013-08-30,11,3,8
2013-08-31,30,6,24
2013-09-01,11,0,11
2013-09-02,4,0,4
2013-09-03,19,6,13
2013-09-04,7,1,6
2013-09-05,4,1,3
2013-09-06,7,5,2
2013-09-07,26,1,25
2013-09-08,13,3,10
2013-09-09,9,2,7
2013-09-10,11,4,7
2013-09-11,8,3,5
2013-09-12,9,5,4
2013-09-13,12,8,4
2013-09-14,16,2,14
2013-09-15,15,2,13
2013-09-16,9,1,8
2013-09-17,16,6,10
2013-09-18,12,8,4
2013-09-19,6,2,4
2013-09-20,12,6,6
2013-09-21,5,2,3
2013-09-22,21,1,20
2013-09-23,13,8,5
2013-09-24,7,4,3
2013-09-25,12,6,6
2013-09-26,8,7,1
2013-09-27,13,7,6
2013-09-28,7,2,5
2013-09-29,6,5,1
2013-09-30,4,3,1
2013-10-01,8,5,3
2013-10-02,18,14,4
2013-10-03,17,5,12
2013-10-04,11,9,2
2013-10-05,17,1,16
2013-10-06,20,1,19
2013-10-07,11,8,3
2013-10-08,7,5,2
2013-10-09,18,10,8
2013-10-10,14,9,5
2013-10-11,7,4,3
2013-10-12,6,3,3
2013-10-13,19,4,15
2013-10-14,16,10,6
2013-10-15,11,8,3
2013-10-16,11,9,2
2013-10-17,13,10,3
2013-10-18,9,8,1
2013-10-19,20,7,13
2013-10-20,9,4,5
2013-10-21,9,7,2
2013-10-22,10,8,2
2013-10-23,14,11,3
2013-10-24,9,5,4
2013-10-25,12,7,5
2013-10-26,19,5,14
2013-10-27,6,0,6
2013-10-28,9,9,0
2013-10-29,11,8,3
2013-10-30,7,6,1
2013-10-31,9,8,1
2013-11-01,14,8,6
2013-11-02,8,3,5
2013-11-03,14,4,10
2013-11-04,10,9,1
2013-11-05,12,10,2
2013-11-06,12,11,1
2013-11-07,17,5,12
2013-11-08,8,2,6
2013-11-09,15,2,13
2013-11-10,7,3,4
2013-11-11,6,6,0
2013-11-12,6,5,1
2013-11-13,9,7,2
2013-11-14,4,3,1
2013-11-15,16,6,10
2013-11-16,12,4,8
2013-11-17,18,7,11
2013-11-18,4,3,1
2013-11-19,12,6,6
2013-11-20,8,4,4
2013-11-21,12,5,7
2013-11-22,8,4,4
2013-11-23,7,2,5
2013-11-24,1,1,0
2013-11-25,11,8,3
2013-11-26,11,9,2
2013-11-27,8,4,4
2013-11-28,10,0,10
2013-11-29,5,3,2
2013-11-30,8,4,4
2013-12-01,6,2,4
2013-12-02,12,12,0
2013-12-03,5,5,0
2013-12-04,12,10,2
2013-12-05,11,10,1
2013-12-06,3,2,1
2013-12-07,1,1,0
2013-12-08,2,1,1
2013-12-09,9,9,0
2013-12-10,7,4,3
2013-12-11,7,3,4
2013-12-12,11,7,4
2013-12-13,10,7,3
2013-12-14,2,2,0
